
AK-1>>>Nick Begich>>>R>>>125195>>>Mary Peltola>>>D>>>114918>>>71
AL-1>>>Barry Moore>>>R>>>257310>>>Tom Holmes>>>D>>>70451>>>99
AL-2>>>Shomari Figures>>>D>>>157092>>>Caroleene Dobson>>>R>>>130847>>>90
AL-3>>>Mike Rogers>>>R>>>242652>>>undefined>>>undefined>>>undefined>>>94
AL-4>>>Robert Aderholt>>>R>>>273915>>>undefined>>>undefined>>>undefined>>>99
AL-5>>>Dale Strong>>>R>>>249365>>>undefined>>>undefined>>>undefined>>>91
AL-6>>>Gary Palmer>>>R>>>243418>>>Elizabeth Anderson>>>D>>>102266>>>99
AL-7>>>Terri Sewell>>>D>>>186407>>>Robin Litaker>>>R>>>106168>>>87
AR-1>>>Rick Crawford>>>R>>>194434>>>Rodney Govens>>>D>>>63917>>>93
AR-2>>>French Hill>>>R>>>180229>>>Marcus Jones>>>D>>>125395>>>92
AR-3>>>Steve Womack>>>R>>>191788>>>Caitlin Draper>>>D>>>95396>>>99
AR-4>>>Bruce Westerman>>>R>>>196719>>>Risie Howard>>>D>>>72984>>>90
AZ-1>>>David Schweikert>>>R>>>211738>>>Amish Shah>>>D>>>194192>>>84
AZ-2>>>Eli Crane>>>R>>>202482>>>Jonathan Nez>>>D>>>171153>>>88
AZ-3>>>Yassamin Ansari>>>D>>>126094>>>Jeff Zink>>>R>>>48077>>>75
AZ-4>>>Greg Stanton>>>D>>>156215>>>Kelly Cooper>>>R>>>136443>>>89
AZ-5>>>Andy Biggs>>>R>>>240527>>>Katrina Schaffner>>>D>>>156481>>>91
AZ-6>>>Juan Ciscomani>>>R>>>173654>>>Kirsten Engel>>>D>>>171239>>>77
AZ-7>>>Raúl Grijalva>>>D>>>132542>>>Daniel Butierez>>>R>>>77344>>>67
AZ-8>>>Abe Hamadeh>>>R>>>195422>>>Greg Whitten>>>D>>>149557>>>82
AZ-9>>>Paul Gosar>>>R>>>224765>>>Quacy Smith>>>D>>>116190>>>90
CA-1>>>Doug LaMalfa>>>R>>>136184>>>Rose Yee>>>D>>>77655>>>61
CA-2>>>Jared Huffman>>>D>>>172314>>>Chris Coulombe>>>R>>>67488>>>57
CA-3>>>Kevin Kiley>>>R>>>170406>>>Jessica Morse>>>D>>>130143>>>68
CA-4>>>Mike Thompson>>>D>>>144198>>>John Munn>>>R>>>77385>>>59
CA-5>>>Tom McClintock>>>R>>>188098>>>Mike Barkley>>>D>>>112278>>>75
CA-6>>>Ami Bera>>>D>>>103067>>>Christine Bish>>>R>>>76908>>>54
CA-7>>>Doris Matsui>>>D>>>118725>>>Tom Silva>>>R>>>62814>>>53
CA-8>>>John Garamendi>>>D>>>175455>>>Rudy Recile>>>R>>>62796>>>74
CA-9>>>Josh Harder>>>D>>>85528>>>Kevin Lincoln>>>R>>>81504>>>61
CA-10>>>Mark DeSaulnier>>>D>>>203881>>>Katherine Piccinini>>>R>>>102255>>>74
CA-11>>>Nancy Pelosi>>>D>>>219840>>>Bruce Lou>>>R>>>50562>>>68
CA-12>>>Lateefah Simon>>>D>>>82906>>>Jennifer Tran>>>D>>>47520>>>35
CA-13>>>John Duarte>>>R>>>66675>>>Adam Gray>>>D>>>63414>>>57
CA-14>>>Eric Swalwell>>>D>>>94789>>>Vin Kruttiventi>>>R>>>49710>>>44
CA-15>>>Kevin Mullin>>>D>>>143170>>>Anna Cheng Kramer>>>R>>>55158>>>56
CA-16>>>Sam Liccardo>>>D>>>128820>>>Evan Low>>>D>>>87737>>>59
CA-17>>>Ro Khanna>>>D>>>124175>>>Anita Chen>>>R>>>61087>>>62
CA-18>>>Zoe Lofgren>>>D>>>105069>>>Peter Hernandez>>>R>>>59461>>>62
CA-19>>>Jimmy Panetta>>>D>>>192709>>>Jason Anderson>>>R>>>82744>>>67
CA-20>>>Vince Fong>>>R>>>125796>>>Mike Boudreaux>>>R>>>68754>>>62
CA-21>>>Jim Costa>>>D>>>65967>>>Michael Maher>>>R>>>64664>>>64
CA-22>>>David Valadao>>>R>>>71495>>>Rudy Salas>>>D>>>61987>>>71
CA-23>>>Jay Obernolte>>>R>>>108339>>>Derek Marshall>>>D>>>72287>>>60
CA-24>>>Salud Carbajal>>>D>>>151271>>>Thomas Cole>>>R>>>90108>>>64
CA-25>>>Raul Ruiz>>>D>>>99351>>>Ian Weeks>>>R>>>76038>>>66
CA-26>>>Julia Brownley>>>D>>>132886>>>Michael Koslow>>>R>>>110523>>>64
CA-27>>>George Whitesides>>>D>>>134231>>>Mike Garcia>>>R>>>132117>>>81
CA-28>>>Judy Chu>>>D>>>174118>>>April Verlato>>>R>>>93605>>>73
CA-29>>>Luz Rivas>>>D>>>127719>>>Benito Bernal>>>R>>>56421>>>67
CA-30>>>Laura Friedman>>>D>>>190554>>>Alex Balekian>>>R>>>89185>>>74
CA-31>>>Gil Cisneros>>>D>>>128222>>>Daniel Martinez>>>R>>>89738>>>71
CA-32>>>Brad Sherman>>>D>>>188950>>>Larry Thompson>>>R>>>98086>>>73
CA-33>>>Pete Aguilar>>>D>>>81595>>>Tom Herman>>>R>>>60495>>>52
CA-34>>>Jimmy Gomez>>>D>>>91473>>>David Kim>>>D>>>71492>>>88
CA-35>>>Norma Torres>>>D>>>87228>>>Mike Cargile>>>R>>>65663>>>56
CA-36>>>Ted Lieu>>>D>>>219269>>>Melissa Toomim>>>R>>>101645>>>76
CA-37>>>Sydney Kamlager-Dove>>>D>>>139542>>>Juan Rey>>>NX>>>38375>>>71
CA-38>>>Linda Sanchez>>>D>>>139653>>>Eric Ching>>>R>>>98124>>>70
CA-39>>>Mark Takano>>>D>>>95996>>>David Serpa>>>R>>>75067>>>75
CA-40>>>Young Kim>>>R>>>185729>>>Joe Kerr>>>D>>>146612>>>78
CA-41>>>Ken Calvert>>>R>>>143621>>>Will Rollins>>>D>>>135741>>>76
CA-42>>>Robert Garcia>>>D>>>130057>>>John Briscoe>>>R>>>64239>>>67
CA-43>>>Maxine Waters>>>D>>>139068>>>Steve Williams>>>R>>>47113>>>69
CA-44>>>Nanette Barragan>>>D>>>138312>>>Roger Groh>>>R>>>57925>>>67
CA-45>>>Michelle Steel>>>R>>>137696>>>Derek Tran>>>D>>>130795>>>79
CA-46>>>Lou Correa>>>D>>>111399>>>David Pan>>>R>>>66931>>>70
CA-47>>>Dave Min>>>D>>>151254>>>Scott Baugh>>>R>>>148541>>>82
CA-48>>>Darrell Issa>>>R>>>178822>>>Stephen Houlahan>>>D>>>120080>>>77
CA-49>>>Mike Levin>>>D>>>167787>>>Matt Gunderson>>>R>>>156630>>>80
CA-50>>>Scott Peters>>>D>>>191657>>>Peter Bono>>>R>>>109257>>>74
CA-51>>>Sara Jacobs>>>D>>>164088>>>Bill Wells>>>R>>>108481>>>74
CA-52>>>Juan Vargas>>>D>>>137169>>>Justin Lee>>>R>>>71584>>>68
